Group,Semi-Arid,Sub-Humid,Transition
Fish,"0.7 (0.5, 0.9)∗∗","2.1 (2.0, 2.3)∗∗","1.8 (1.6, 2.0)∗∗"
F-Herbivore,"0.4 (0.2, 0.6)∗∗","1.8 (1.6, 2.0)∗∗","1.6 (1.1, 2.1)∗ "
P.latipinna,"0.4 (0.2, 0.6)∗∗","2.2 (1.9, 2.7)∗ ","1.6 (1.1, 2.1)∗ "
F-Invertivore,"0.7 (0.5, 1.0)∗∗","2.1 (1.9, 2.3)∗ ","1.7 (1.5, 1.9)∗ "
L.macrochirus,"0.7 (0.2, 1.1)∗∗","2.6 (2.0, 3.2)∗∗","1.3 (1.1, 1.6)∗∗"
F-Piscivore,"1.1 (0.5, 1.6)∗ ","2.1 (1.9, 2.3)∗ ","1.9 (1.5, 2.3)  "
L.cyanellus,"0.7 (0.2, 1.2)∗ ","2.2 (2.0, 2.4)∗∗","1.1 (1.0, 1.3)∗ "
L.gulosus,"0.7 (0.1, 1.3)∗∗","1.9 (1.9, 2.0)∗ ","1.8 (1.7, 1.9)∗ "
Invertebrate,"0.2 (0.0, 0.4)∗∗","0.9 (0.6, 1.2)∗ ","1.2 (0.9, 1.4)∗ "
I-Filterer,"0.0 (0.0, 0.0)∗ ","0.8 (0.7, 0.9)∗ ","0.4 (0.0, 0.9)  "
Corbiculidae,"0.0 (0.0, 0.0)∗ ","0.8 (0.7, 0.9)∗∗","0.2 (-0.1, 0.6)∗ "
I-Predator,"0.3 (0.1, 0.6)∗ ","0.9 (0.5, 1.3)  ","1.4 (1.0, 1.8)∗ "
