taxa,site,TL_mu,TL_bottom,TL_top,comparison,Aq_mu,Aq_bottom,Aq_top,guild
Corbiculidae,Semi-Arid,0,0,0,Species,41.2633328071188,13.314355227957394,72.98908170548265,Invertebrate
L.cyanellus,Semi-Arid,0.7155614532301333,0.21296933648724403,1.2462945878019354,Species,61.7813122634184,21.719214446396247,92.15943025467594,Fish
L.gulosus,Semi-Arid,0.7315214739219094,0.1251362646837828,1.3300353273497525,Species,62.460103969963555,28.28966847759665,91.86907554950884,Fish
L.macrochirus,Semi-Arid,0.6579477599024719,0.24454436335001825,1.063235759380494,Species,61.096183652723326,25.36075261415329,91.36205346339264,Fish
P.latipinna,Semi-Arid,0.4337657989355043,0.24395182463024995,0.6326706125949795,Species,80.42466344072066,60.53179705918065,96.2520975769728,Fish
Corbiculidae,Sub-Humid,0.7678406992632849,0.6780720722332783,0.8578872948962359,Species,20.157252474669654,3.7890676572030735,48.35362237430386,Invertebrate
L.cyanellus,Sub-Humid,2.1745141655271634,1.9530795536818628,2.3940610777004503,Species,17.62481347026546,2.796663670692092,45.363803484221265,Fish
L.gulosus,Sub-Humid,1.9410718899777928,1.8785023625262691,2.0026944372813587,Species,12.35102393564349,1.8581485075515,33.080075271308246,Fish
L.macrochirus,Sub-Humid,2.615083210977793,1.978957301074063,3.2219880808939214,Species,7.819825457925096,1.425996087762143,18.70976249279931,Fish
P.latipinna,Sub-Humid,2.2494527032862575,1.8593574624345637,2.6573165373155256,Species,18.4884935939546,2.875850918685438,49.116474579720865,Fish
Corbiculidae,Transition,0.2282249685165352,-0.14577418429517536,0.5959239804108519,Species,30.100698547458514,5.846109424020663,56.634682237513154,Invertebrate
L.cyanellus,Transition,1.1033109119317674,0.9546219400711624,1.254584121483565,Species,33.440845845998815,7.650910827114503,51.77999048669838,Fish
L.gulosus,Transition,1.828806598332984,1.7356224343239086,1.9223283233463455,Species,34.86254540063127,8.453607644549347,66.71083641041284,Fish
L.macrochirus,Transition,1.3351881397195382,1.1132738535821454,1.5603605115117205,Species,36.33608529214268,15.864170775156444,51.62638200491136,Fish
P.latipinna,Transition,1.5554026513736556,1.0822232126813325,2.0612744108786165,Species,39.09826939538259,8.231423144104914,76.27382922463494,Fish
F-Herbivore,Semi-Arid,0.4337657989355043,0.23668380632362557,0.6245407847290175,Trophic Category,79.95451177782552,60.27630593264001,96.5167209537698,Fish
F-Invertivore,Semi-Arid,0.7431058740646357,0.5275183216044432,0.963742970557875,Trophic Category,60.39382161670904,44.52929477513014,76.5665994734975,Fish
F-Piscivore,Semi-Arid,1.0627869423145273,0.5287740580346426,1.598353335856295,Trophic Category,69.75813088025478,38.18828771580565,93.78793857567216,Fish
I-Filterer,Semi-Arid,0,0,0,Trophic Category,41.72976691788219,13.535429142702998,71.85717361081062,Invertebrate
I-Predator,Semi-Arid,0.33575764855091766,0.05181878685928054,0.6254565951142567,Trophic Category,61.84261506932235,30.84387373245266,86.85027023834037,Invertebrate
F-Herbivore,Sub-Humid,2.2494527032862575,1.842635488400861,2.668086433463472,Trophic Category,18.16391485012126,2.558581432443178,51.149560058270374,Fish
F-Invertivore,Sub-Humid,2.114496104763974,1.9013583362987736,2.326289640097318,Trophic Category,5.022030224468986,0.9841211127509918,10.995252845579266,Fish
F-Piscivore,Sub-Humid,2.0885335789200203,1.8864650188492251,2.2920886755234435,Trophic Category,10.014299109611605,1.9462562298621495,21.00657339747685,Fish
I-Filterer,Sub-Humid,0.7678406992632849,0.6811618208984238,0.8593685087274083,Trophic Category,19.818522191373685,3.751187874982584,48.70414236669757,Invertebrate
I-Predator,Sub-Humid,0.8906536761042722,0.5049569848457891,1.2888026026795498,Trophic Category,40.73270182107395,7.247493932247353,84.65073482378614,Invertebrate
F-Herbivore,Transition,1.5554026513736556,1.057073738292614,2.0524582735850925,Trophic Category,39.22167849988739,7.884005925433309,78.74961169010074,Fish
F-Invertivore,Transition,1.7032866582657569,1.5153497893835588,1.901589001916656,Trophic Category,36.10459441636493,29.946785196079382,41.79589769652097,Fish
F-Piscivore,Transition,1.8891311452957384,1.4808205156168148,2.3087959257120314,Trophic Category,33.597339254068054,22.722596611532765,41.71308358287191,Fish
I-Filterer,Transition,0.44260260986690103,-0.04868392548736278,0.9278828059125216,Trophic Category,30.457427870362203,9.330418318010333,50.62212632788465,Invertebrate
I-Predator,Transition,1.373874271817604,0.982165923910602,1.7728840842419429,Trophic Category,21.518389966963067,8.239187658498818,31.278740026954416,Invertebrate
